number,available_bikes,available_bikes_stands,last_update
31,5,14,"2021-03-22 13:37:21"
4,15,5,"2021-03-22 13:37:07"
82,12,10,"2021-03-22 13:36:57"
11,12,18,"2021-03-22 13:36:53"
51,11,29,"2021-03-22 13:36:52"
2,7,13,"2021-03-22 13:36:42"
101,11,18,"2021-03-22 13:36:41"
55,12,24,"2021-03-22 13:36:38"
43,8,22,"2021-03-22 13:36:31"
71,5,34,"2021-03-22 13:36:23"
74,10,19,"2021-03-22 13:36:21"
36,11,29,"2021-03-22 13:36:18"
19,9,21,"2021-03-22 13:36:08"
40,9,12,"2021-03-22 13:36:06"
90,16,24,"2021-03-22 13:35:59"
9,8,16,"2021-03-22 13:35:53"
6,4,16,"2021-03-22 13:35:46"
8,10,20,"2021-03-22 13:35:44"
89,4,36,"2021-03-22 13:35:40"
33,7,16,"2021-03-22 13:35:34"
77,9,20,"2021-03-22 13:35:32"
108,12,28,"2021-03-22 13:35:17"
93,11,29,"2021-03-22 13:35:12"
3,9,11,"2021-03-22 13:35:10"
5,12,28,"2021-03-22 13:35:06"
116,7,23,"2021-03-22 13:34:55"
69,13,26,"2021-03-22 13:34:54"
95,13,27,"2021-03-22 13:34:46"
13,11,19,"2021-03-22 13:34:41"
40,11,10,"2021-03-22 13:34:40"
50,12,28,"2021-03-22 13:34:33"
57,7,16,"2021-03-22 13:34:31"
79,12,15,"2021-03-22 13:34:27"
3,10,10,"2021-03-22 13:34:25"
17,9,11,"2021-03-22 13:34:24"
59,11,9,"2021-03-22 13:34:20"
73,14,16,"2021-03-22 13:34:10"
33,6,17,"2021-03-22 13:34:07"
51,10,30,"2021-03-22 13:34:05"
114,10,30,"2021-03-22 13:34:04"
113,14,26,"2021-03-22 13:33:59"
38,17,23,"2021-03-22 13:33:56"
99,6,24,"2021-03-22 13:33:55"
12,5,15,"2021-03-22 13:33:54"
26,9,11,"2021-03-22 13:33:49"
9,7,17,"2021-03-22 13:33:45"
23,12,18,"2021-03-22 13:33:42"
42,11,19,"2021-03-22 13:33:40"
102,6,34,"2021-03-22 13:33:37"
41,3,17,"2021-03-22 13:33:36"
30,8,12,"2021-03-22 13:33:35"
62,3,37,"2021-03-22 13:33:15"
61,15,9,"2021-03-22 13:33:13"
63,13,22,"2021-03-22 13:33:10"
67,15,25,"2021-03-22 13:33:05"
97,12,28,"2021-03-22 13:32:53"
115,13,17,"2021-03-22 13:32:53"
96,5,25,"2021-03-22 13:32:51"
87,11,27,"2021-03-22 13:32:46"
78,17,23,"2021-03-22 13:32:40"
53,7,33,"2021-03-22 13:32:38"
101,12,17,"2021-03-22 13:32:33"
64,7,33,"2021-03-22 13:32:31"
100,15,10,"2021-03-22 13:32:17"
52,10,22,"2021-03-22 13:32:15"
77,8,21,"2021-03-22 13:32:14"
44,18,12,"2021-03-22 13:32:13"
88,12,17,"2021-03-22 13:32:03"
83,15,25,"2021-03-22 13:31:57"
16,10,10,"2021-03-22 13:31:57"
90,15,25,"2021-03-22 13:31:56"
92,15,25,"2021-03-22 13:31:53"
66,3,37,"2021-03-22 13:31:38"
19,15,15,"2021-03-22 13:31:37"
94,11,29,"2021-03-22 13:31:29"
98,9,31,"2021-03-22 13:31:27"
76,11,27,"2021-03-22 13:31:15"
89,5,35,"2021-03-22 13:31:12"
18,12,18,"2021-03-22 13:31:01"
65,15,25,"2021-03-22 13:30:44"
22,3,17,"2021-03-22 13:30:41"
85,20,15,"2021-03-22 13:30:23"
34,16,14,"2021-03-22 13:30:06"
7,12,17,"2021-03-22 13:30:05"
10,7,9,"2021-03-22 13:29:59"
25,10,20,"2021-03-22 13:29:56"
109,19,10,"2021-03-22 13:29:56"
15,6,10,"2021-03-22 13:29:54"
28,7,23,"2021-03-22 13:29:53"
39,7,13,"2021-03-22 13:29:49"
86,11,26,"2021-03-22 13:29:47"
75,14,26,"2021-03-22 13:29:47"
117,0,40,"2021-03-22 13:29:43"
103,7,33,"2021-03-22 13:29:27"
45,5,25,"2021-03-22 13:29:23"
54,11,22,"2021-03-22 13:29:16"
80,19,21,"2021-03-22 13:29:16"
4,13,7,"2021-03-22 13:29:14"
91,6,24,"2021-03-22 13:29:08"
68,15,25,"2021-03-22 13:29:06"
104,18,22,"2021-03-22 13:29:05"
39,6,14,"2021-03-22 13:29:00"
