description,temp,temp_min,temp_max,humidity,intervals,number,available_bikes,available_bikes_stands,Day,Bikes_available
scattered clouds,12,10,12,76,2021-03-19 15:30:00,112,9,20,Friday,9
scattered clouds,12,10,12,76,2021-03-19 15:30:00,65,7,33,Friday,7
scattered clouds,12,10,12,76,2021-03-19 15:30:00,80,15,25,Friday,15
scattered clouds,12,10,12,76,2021-03-19 15:30:00,41,14,6,Friday,14
scattered clouds,12,10,12,76,2021-03-19 15:30:00,50,8,32,Friday,8
scattered clouds,12,10,12,76,2021-03-19 15:30:00,31,16,4,Friday,16
scattered clouds,12,10,12,76,2021-03-19 15:30:00,6,13,7,Friday,13
scattered clouds,12,10,12,76,2021-03-19 15:30:00,53,17,23,Friday,17
scattered clouds,12,10,12,76,2021-03-19 15:30:00,23,11,19,Friday,11
few clouds,11,11,12,76,2021-03-19 15:45:00,82,3,19,Friday,3
few clouds,11,11,12,76,2021-03-19 15:45:00,111,5,35,Friday,5
few clouds,11,11,12,76,2021-03-19 15:45:00,37,9,21,Friday,9
few clouds,11,11,12,76,2021-03-19 15:45:00,69,11,29,Friday,11
few clouds,11,11,12,76,2021-03-19 15:45:00,63,12,23,Friday,12
few clouds,11,11,12,76,2021-03-19 15:45:00,31,19,1,Friday,19
few clouds,11,11,12,76,2021-03-19 15:45:00,97,11,29,Friday,11
few clouds,11,11,12,76,2021-03-19 15:45:00,84,16,14,Friday,16
few clouds,11,11,12,76,2021-03-19 15:45:00,65,7,33,Friday,7
few clouds,11,11,12,76,2021-03-19 15:45:00,52,12,20,Friday,12
few clouds,11,11,12,76,2021-03-19 15:45:00,53,17,23,Friday,17
few clouds,11,11,12,76,2021-03-19 15:45:00,5,13,27,Friday,13
few clouds,11,11,12,76,2021-03-19 15:45:00,7,16,13,Friday,16
few clouds,11,11,12,76,2021-03-19 15:45:00,41,14,6,Friday,14
few clouds,11,11,12,76,2021-03-19 15:45:00,17,13,7,Friday,13
few clouds,11,11,12,76,2021-03-19 15:45:00,2,8,12,Friday,8
few clouds,11,11,12,76,2021-03-19 15:45:00,24,13,7,Friday,13
few clouds,11,11,12,76,2021-03-19 15:45:00,91,21,9,Friday,21
few clouds,11,11,12,76,2021-03-19 15:45:00,4,8,12,Friday,8
few clouds,11,11,12,76,2021-03-19 15:45:00,112,9,20,Friday,9
few clouds,11,11,12,76,2021-03-19 15:45:00,56,15,25,Friday,15
few clouds,11,11,12,76,2021-03-19 15:45:00,11,9,21,Friday,9
few clouds,11,11,12,76,2021-03-19 15:45:00,76,21,17,Friday,21
few clouds,11,11,12,76,2021-03-19 15:45:00,100,21,4,Friday,21
few clouds,11,11,12,76,2021-03-19 15:45:00,95,17,23,Friday,17
few clouds,11,11,12,76,2021-03-19 15:45:00,4,8,12,Friday,8
few clouds,11,11,12,76,2021-03-19 15:45:00,88,12,18,Friday,12
few clouds,11,11,12,76,2021-03-19 15:45:00,83,16,24,Friday,16
few clouds,11,11,12,76,2021-03-19 15:45:00,117,0,40,Friday,0
few clouds,11,11,12,76,2021-03-19 15:45:00,57,6,17,Friday,6
few clouds,11,11,12,76,2021-03-19 15:45:00,98,6,34,Friday,6
few clouds,11,11,12,76,2021-03-19 15:45:00,19,13,17,Friday,13
few clouds,11,11,12,76,2021-03-19 15:45:00,115,13,17,Friday,13
few clouds,11,11,12,76,2021-03-19 15:45:00,105,11,25,Friday,11
few clouds,11,11,12,76,2021-03-19 15:45:00,51,5,35,Friday,5
few clouds,11,11,12,76,2021-03-19 15:45:00,10,8,8,Friday,8
few clouds,11,11,12,76,2021-03-19 15:45:00,85,10,25,Friday,10
few clouds,11,11,12,76,2021-03-19 15:45:00,72,20,11,Friday,20
few clouds,11,11,12,76,2021-03-19 15:45:00,61,6,19,Friday,6
few clouds,11,11,12,76,2021-03-19 15:45:00,39,11,9,Friday,11
few clouds,11,11,12,76,2021-03-19 15:45:00,67,1,39,Friday,1
few clouds,11,11,12,76,2021-03-19 15:45:00,18,11,19,Friday,11
few clouds,11,11,12,76,2021-03-19 15:45:00,40,8,13,Friday,8
few clouds,11,11,12,76,2021-03-19 15:45:00,114,2,38,Friday,2
few clouds,11,11,12,76,2021-03-19 15:45:00,116,13,17,Friday,13
few clouds,11,11,12,76,2021-03-19 15:45:00,113,9,31,Friday,9
few clouds,11,11,12,76,2021-03-19 15:45:00,92,14,26,Friday,14
few clouds,11,11,12,76,2021-03-19 15:45:00,108,11,29,Friday,11
few clouds,11,11,12,76,2021-03-19 15:45:00,32,14,16,Friday,14
few clouds,11,11,12,76,2021-03-19 15:45:00,100,22,3,Friday,22
few clouds,11,11,12,76,2021-03-19 15:45:00,15,14,2,Friday,14
few clouds,11,11,12,76,2021-03-19 15:45:00,31,20,0,Friday,20
few clouds,11,11,12,76,2021-03-19 15:45:00,97,12,28,Friday,12
few clouds,11,11,12,76,2021-03-19 15:45:00,23,10,20,Friday,10
few clouds,11,11,12,76,2021-03-19 15:45:00,112,8,21,Friday,8
few clouds,11,11,12,76,2021-03-19 15:45:00,69,12,28,Friday,12
