number,available_bikes,available_bikes_stands,intervals,description,temp,temp_min,temp_max,humidity,Day,Bikes_available
84,18,12,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,18
64,10,30,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,10
3,4,16,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,4
44,16,14,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,16
67,3,37,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,3
48,8,32,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,8
75,8,32,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,8
10,8,8,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,8
17,13,7,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,13
111,6,34,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,6
29,15,14,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,15
63,13,22,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,13
106,20,20,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,20
23,11,19,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,11
40,6,15,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,6
37,10,20,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,10
86,5,33,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,5
116,12,18,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,12
74,6,24,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,6
72,20,11,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,20
24,13,7,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,13
18,10,20,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,10
100,21,4,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,21
69,10,30,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,10
89,17,23,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,17
40,8,13,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,8
76,21,17,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,21
115,13,17,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,13
85,10,25,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,10
49,6,34,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,6
91,21,9,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,21
37,9,21,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,9
27,15,5,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,15
63,12,23,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,12
84,16,14,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,16
65,7,33,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,7
112,9,20,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,9
7,16,13,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,16
56,15,25,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,15
11,9,21,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,9
53,17,23,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,17
105,11,25,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,11
69,7,33,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,7
43,11,19,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,11
114,2,38,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,2
19,15,15,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,15
98,6,34,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,6
9,20,4,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,20
17,12,8,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,12
68,18,22,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,18
49,4,36,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,4
62,6,34,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,6
29,16,13,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,16
5,19,21,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,19
83,16,24,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,16
117,0,40,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,0
57,6,17,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,6
92,15,25,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,15
84,15,15,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,15
61,6,19,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,6
40,8,13,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,8
105,11,25,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,11
114,2,38,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,2
51,5,35,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,5
24,14,6,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,14
26,14,6,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,14
66,21,19,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,21
38,14,26,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,14
18,12,18,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,12
98,6,34,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,6
6,10,10,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,10
79,13,14,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,13
13,7,23,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,7
107,9,31,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,9
67,1,39,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,1
95,15,25,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,15
22,6,14,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,6
50,7,33,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,7
86,8,30,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,8
104,9,31,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,9
19,12,18,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,12
77,14,15,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,14
39,10,10,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,10
66,20,20,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,20
38,13,27,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,13
73,5,25,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,5
33,9,14,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,9
96,8,22,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,8
103,11,29,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,11
87,10,28,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,10
25,15,15,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,15
54,10,23,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,10
89,16,24,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,16
40,7,14,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,7
115,12,18,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,12
52,12,20,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,12
116,14,16,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,14
5,24,16,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,24
34,20,10,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,20
93,10,30,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,10
78,6,34,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,6
80,12,28,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,12
44,15,15,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,15
2,8,12,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,8
112,9,21,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,9
100,23,2,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,23
94,2,38,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,2
45,5,25,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,5
42,14,16,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,14
