number,available_bikes,available_bikes_stands,intervals,description,temp,temp_min,temp_max,humidity,Day,Stands_available
106,20,20,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,20
23,11,19,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,19
40,6,15,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,15
37,10,20,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,20
86,5,33,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,33
116,12,18,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,18
74,6,24,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,24
72,20,11,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,11
24,13,7,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,7
18,10,20,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,20
100,21,4,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,4
69,10,30,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,30
89,17,23,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,23
40,8,13,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,13
76,21,17,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,17
115,13,17,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,17
85,10,25,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,25
49,6,34,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,34
91,21,9,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,9
37,9,21,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,21
27,15,5,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,5
63,12,23,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,23
84,16,14,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,14
65,7,33,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,33
112,9,20,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,20
7,16,13,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,13
56,15,25,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,25
11,9,21,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,21
53,17,23,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,23
